Category: All categories

Region,chink: (2018)
Vermont,100
Wyoming,79
Montana,79
California,69
New York,69
Massachusetts,68
Pennsylvania,67
Minnesota,66
Nebraska,65
District of Columbia,64
Maine,63
Illinois,63
Maryland,63
New Hampshire,63
New Jersey,61
Virginia,61
Arizona,59
Ohio,59
Rhode Island,58
Washington,57
Utah,57
Oregon,57
Tennessee,56
Kansas,56
North Dakota,55
New Mexico,54
Connecticut,53
Wisconsin,53
Indiana,53
Hawaii,53
South Dakota,52
Colorado,52
Alaska,51
Mississippi,50
Oklahoma,50
Georgia,49
Michigan,47
Texas,46
North Carolina,45
West Virginia,43
Missouri,43
Florida,43
Nevada,43
Iowa,40
Kentucky,40
Alabama,40
Arkansas,38
Idaho,35
Delaware,33
South Carolina,32
Louisiana,31
