Category: All categories

Region,chink: (2017)
Montana,100
Wyoming,95
South Dakota,84
Alaska,66
Vermont,58
Utah,55
Colorado,54
Hawaii,52
Maine,52
Oklahoma,52
Maryland,51
California,51
Massachusetts,50
Iowa,50
West Virginia,49
Tennessee,48
Minnesota,48
Illinois,47
Connecticut,46
Rhode Island,46
New York,46
Washington,45
Pennsylvania,44
Nevada,44
Virginia,44
Delaware,43
District of Columbia,43
Arkansas,42
Oregon,42
Indiana,42
Michigan,41
Wisconsin,41
Missouri,40
Kentucky,40
North Dakota,40
Louisiana,39
North Carolina,39
Idaho,39
New Jersey,39
Texas,38
Georgia,37
Alabama,36
South Carolina,36
New Hampshire,35
Arizona,34
Ohio,33
Florida,32
Kansas,32
Mississippi,30
New Mexico,29
Nebraska,24
