Category: All categories

Region,fuck china: (2017)
Alabama,100
New Jersey,77
Idaho,75
Minnesota,74
Kansas,74
California,65
Nevada,60
New York,59
Indiana,59
Wisconsin,58
Iowa,55
Hawaii,52
Georgia,49
Louisiana,49
Oklahoma,49
Utah,48
Arizona,47
Oregon,45
Washington,45
South Carolina,44
Pennsylvania,42
Ohio,41
Tennessee,41
Illinois,39
Texas,38
Maryland,38
Connecticut,37
North Carolina,37
Nebraska,36
Virginia,35
Florida,34
Missouri,33
Massachusetts,30
Michigan,28
Colorado,23
Kentucky,20
South Dakota,
Wyoming,
Alaska,
Delaware,
Mississippi,
West Virginia,
Maine,
New Mexico,
District of Columbia,
Arkansas,
Montana,
North Dakota,
New Hampshire,
Rhode Island,
Vermont,
