Category: All categories

Region,fuck china: (2014)
Virginia,100
Oregon,99
Kansas,80
Connecticut,73
Kentucky,72
Alabama,70
Idaho,69
Hawaii,68
California,60
Georgia,60
South Carolina,52
Iowa,52
Washington,51
New York,51
Arkansas,51
Massachusetts,48
Nebraska,47
Oklahoma,47
New Jersey,41
Illinois,41
Wisconsin,40
Minnesota,40
Indiana,37
Nevada,37
North Carolina,36
Missouri,35
Texas,34
Ohio,32
Utah,32
Louisiana,31
Tennessee,30
Florida,30
Maryland,30
Colorado,29
Arizona,26
Michigan,24
Pennsylvania,20
Wyoming,
Delaware,
South Dakota,
Alaska,
Montana,
Mississippi,
District of Columbia,
West Virginia,
Maine,
North Dakota,
New Hampshire,
New Mexico,
Rhode Island,
Vermont,
