Category: All categories

Region,fuck china: (2015)
Virginia,100
Kansas,81
Louisiana,61
Arkansas,44
Hawaii,42
Idaho,39
California,38
Alabama,36
Nevada,36
Iowa,34
Indiana,33
Colorado,33
Connecticut,32
Michigan,30
Pennsylvania,29
South Carolina,29
Texas,29
Utah,28
New York,28
Wisconsin,28
Georgia,27
Nebraska,26
Illinois,24
Ohio,24
New Jersey,22
North Carolina,21
Tennessee,21
Florida,21
Maryland,20
Missouri,19
Oregon,18
Arizona,18
Washington,15
Minnesota,15
Oklahoma,15
Kentucky,14
Massachusetts,12
Vermont,
Wyoming,
Alaska,
Mississippi,
West Virginia,
Rhode Island,
Maine,
New Mexico,
District of Columbia,
Delaware,
Montana,
North Dakota,
New Hampshire,
South Dakota,
